Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"55079017300","14000US55079017300","Census Tract 173, Milwaukee County, Wisconsin","Census Tract 173, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004865",,,,,"55","079",,,,"017300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979,1234,849,332,0,45,0,0,8,2745,2246,19,0,0,0,424,56
"55079017400","14000US55079017400","Census Tract 174, Milwaukee County, Wisconsin","Census Tract 174, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004866",,,,,"55","079",,,,"017400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2959,747,294,335,35,42,0,0,41,2212,1498,0,0,0,0,653,61
"55079017500","14000US55079017500","Census Tract 175, Milwaukee County, Wisconsin","Census Tract 175, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004867",,,,,"55","079",,,,"017500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3775,1298,846,248,4,0,0,0,200,2477,1713,125,0,0,0,475,164
"55079017600","14000US55079017600","Census Tract 176, Milwaukee County, Wisconsin","Census Tract 176, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004868",,,,,"55","079",,,,"017600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3285,1012,581,287,22,50,0,0,72,2273,1300,88,0,0,0,755,130
"55079017900","14000US55079017900","Census Tract 179, Milwaukee County, Wisconsin","Census Tract 179, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004869",,,,,"55","079",,,,"017900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3238,2536,2187,77,65,112,5,0,90,702,470,0,0,0,0,57,175
"55079018000","14000US55079018000","Census Tract 180, Milwaukee County, Wisconsin","Census Tract 180, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004870",,,,,"55","079",,,,"018000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2876,2378,2266,38,16,31,0,7,20,498,470,0,0,0,0,11,17
"55079018100","14000US55079018100","Census Tract 181, Milwaukee County, Wisconsin","Census Tract 181, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004871",,,,,"55","079",,,,"018100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1709,1612,1385,74,17,53,0,0,83,97,77,0,0,0,0,20,0
"55079018200","14000US55079018200","Census Tract 182, Milwaukee County, Wisconsin","Census Tract 182, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004872",,,,,"55","079",,,,"018200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635,1560,1533,0,0,23,0,0,4,75,67,0,8,0,0,0,0
"55079018300","14000US55079018300","Census Tract 183, Milwaukee County, Wisconsin","Census Tract 183, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004873",,,,,"55","079",,,,"018300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2532,2284,2176,7,6,30,0,0,65,248,238,0,10,0,0,0,0
"55079018400","14000US55079018400","Census Tract 184, Milwaukee County, Wisconsin","Census Tract 184, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004874",,,,,"55","079",,,,"018400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294,1235,1200,0,0,35,0,0,0,59,59,0,0,0,0,0,0
