Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001
"55079006600","14000US55079006600","Census Tract 66, Milwaukee County, Wisconsin","Census Tract 66, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004788",,,,,"55","079",,,,"006600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19420
"55079006700","14000US55079006700","Census Tract 67, Milwaukee County, Wisconsin","Census Tract 67, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004789",,,,,"55","079",,,,"006700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25278
"55079006800","14000US55079006800","Census Tract 68, Milwaukee County, Wisconsin","Census Tract 68, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004790",,,,,"55","079",,,,"006800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27297
"55079006900","14000US55079006900","Census Tract 69, Milwaukee County, Wisconsin","Census Tract 69, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004791",,,,,"55","079",,,,"006900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19133
"55079007000","14000US55079007000","Census Tract 70, Milwaukee County, Wisconsin","Census Tract 70, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004792",,,,,"55","079",,,,"007000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21164
"55079007100","14000US55079007100","Census Tract 71, Milwaukee County, Wisconsin","Census Tract 71, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004793",,,,,"55","079",,,,"007100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31900
"55079007200","14000US55079007200","Census Tract 72, Milwaukee County, Wisconsin","Census Tract 72, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004794",,,,,"55","079",,,,"007200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34750
"55079007300","14000US55079007300","Census Tract 73, Milwaukee County, Wisconsin","Census Tract 73, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004795",,,,,"55","079",,,,"007300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30610
"55079007400","14000US55079007400","Census Tract 74, Milwaukee County, Wisconsin","Census Tract 74, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004796",,,,,"55","079",,,,"007400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111597
"55079007500","14000US55079007500","Census Tract 75, Milwaukee County, Wisconsin","Census Tract 75, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004797",,,,,"55","079",,,,"007500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74787
